month,operator,demanda_comercial_kwh,demand_twh
2022-01-01,Afinia / Caribemar,712536418.56,0.7125364185599999
2022-01-01,Air-e,655266263.87,0.65526626387
2022-02-01,Afinia / Caribemar,660905801.74,0.66090580174
2022-02-01,Air-e,613245122.62,0.61324512262
2022-03-01,Afinia / Caribemar,742355146.11,0.74235514611
2022-03-01,Air-e,696407545.66,0.69640754566
2022-04-01,Afinia / Caribemar,704513395.59,0.70451339559
2022-04-01,Air-e,683881375.3,0.6838813752999999
2022-05-01,Afinia / Caribemar,738995048.48,0.73899504848
2022-05-01,Air-e,730750606.4,0.7307506064
2022-06-01,Afinia / Caribemar,669697590.12,0.66969759012
2022-06-01,Air-e,663706684.28,0.66370668428
2022-07-01,Afinia / Caribemar,735173299.73,0.73517329973
2022-07-01,Air-e,728190998.35,0.72819099835
2022-08-01,Afinia / Caribemar,714600525.16,0.7146005251599999
2022-08-01,Air-e,714531564.24,0.71453156424
2022-09-01,Afinia / Caribemar,676479984.03,0.67647998403
2022-09-01,Air-e,671355532.77,0.6713555327699999
2022-10-01,Afinia / Caribemar,694399984.36,0.69439998436
2022-10-01,Air-e,681682952.9,0.6816829529
2022-11-01,Afinia / Caribemar,656870543.88,0.65687054388
2022-11-01,Air-e,639625612.11,0.63962561211
2022-12-01,Afinia / Caribemar,703323836.67,0.70332383667
2022-12-01,Air-e,661995825.99,0.6619958259900001
2023-01-01,Afinia / Caribemar,683499812.56,0.6834998125599999
2023-01-01,Air-e,669533745.66,0.66953374566
2023-02-01,Afinia / Caribemar,633944307.68,0.63394430768
2023-02-01,Air-e,590166051.97,0.59016605197
2023-03-01,Afinia / Caribemar,713903254.35,0.71390325435
2023-03-01,Air-e,684504865.84,0.68450486584
2023-04-01,Afinia / Caribemar,702253931.61,0.70225393161
2023-04-01,Air-e,688636419.75,0.68863641975
2023-05-01,Afinia / Caribemar,748715586.79,0.7487155867899999
2023-05-01,Air-e,776089723.55,0.7760897235499999
2023-06-01,Afinia / Caribemar,728028918.22,0.72802891822
2023-06-01,Air-e,759818629.86,0.75981862986
2023-07-01,Afinia / Caribemar,769430093.29,0.76943009329
2023-07-01,Air-e,799491094.55,0.79949109455
2023-08-01,Afinia / Caribemar,778986121.37,0.77898612137
2023-08-01,Air-e,808910248.7,0.8089102487000001
2023-09-01,Afinia / Caribemar,768943280.31,0.7689432803099999
2023-09-01,Air-e,802573213.72,0.80257321372
2023-10-01,Afinia / Caribemar,749536997.0,0.749536997
2023-10-01,Air-e,770470828.91,0.77047082891
2023-11-01,Afinia / Caribemar,731342637.6,0.7313426376000001
2023-11-01,Air-e,743619839.32,0.7436198393200001
2023-12-01,Afinia / Caribemar,793277522.86,0.79327752286
2023-12-01,Air-e,761077482.63,0.76107748263
2024-01-01,Afinia / Caribemar,797767760.76,0.79776776076
2024-01-01,Air-e,747876791.88,0.74787679188
2024-02-01,Afinia / Caribemar,729636144.36,0.72963614436
2024-02-01,Air-e,689921458.38,0.68992145838
2024-03-01,Afinia / Caribemar,819379490.17,0.81937949017
2024-03-01,Air-e,777637624.02,0.77763762402
2024-04-01,Afinia / Caribemar,786323339.52,0.78632333952
2024-04-01,Air-e,771307862.57,0.7713078625700001
2024-05-01,Afinia / Caribemar,794071639.83,0.7940716398300001
2024-05-01,Air-e,813304251.88,0.81330425188
2024-06-01,Afinia / Caribemar,740296882.28,0.74029688228
2024-06-01,Air-e,757745597.98,0.7577455979800001
2024-07-01,Afinia / Caribemar,805639587.61,0.80563958761
2024-07-01,Air-e,817540529.2,0.8175405292000001
2024-08-01,Afinia / Caribemar,788098002.64,0.78809800264
2024-08-01,Air-e,823724558.07,0.82372455807
2024-09-01,Afinia / Caribemar,759608452.97,0.75960845297
2024-09-01,Air-e,786495231.65,0.78649523165
2024-10-01,Afinia / Caribemar,782842135.51,0.78284213551
2024-10-01,Air-e,813041412.59,0.8130414125900001
2024-11-01,Afinia / Caribemar,706519548.95,0.70651954895
2024-11-01,Air-e,721345852.75,0.72134585275
2024-12-01,Afinia / Caribemar,779732124.35,0.77973212435
2024-12-01,Air-e,799952244.32,0.79995224432
