datetime,predicted_precio_bolsa_cop_kwh
2026-06-19 00:00:00,302.707275390625
2026-06-19 01:00:00,302.7124938964844
2026-06-19 02:00:00,298.9339904785156
2026-06-19 03:00:00,294.663818359375
2026-06-19 04:00:00,300.27838134765625
2026-06-19 05:00:00,317.6546630859375
2026-06-19 06:00:00,313.3787536621094
2026-06-19 07:00:00,319.79681396484375
2026-06-19 08:00:00,328.02471923828125
2026-06-19 09:00:00,345.9049987792969
2026-06-19 10:00:00,363.5638122558594
2026-06-19 11:00:00,378.3572998046875
2026-06-19 12:00:00,374.07525634765625
2026-06-19 13:00:00,385.0590515136719
2026-06-19 14:00:00,426.3565368652344
2026-06-19 15:00:00,459.8647155761719
2026-06-19 16:00:00,492.1155090332031
2026-06-19 17:00:00,527.3567504882812
2026-06-19 18:00:00,665.664794921875
2026-06-19 19:00:00,757.967041015625
2026-06-19 20:00:00,642.2788696289062
2026-06-19 21:00:00,502.5551452636719
2026-06-19 22:00:00,445.9364013671875
2026-06-19 23:00:00,388.8231506347656
